"No 및 소계","1차사업소","2차사업소","3차사업소","4차사업소","사용량","사용금액","사용량","사용금액","사용량","사용금액"
"264","경남본부","합천지사","","","53120","7820020","0","0","0","0"
"265","경남본부","밀양지사","","","97947","8223920","0","0","2331.45","335250"
"266","경남본부","사천지사","","","61660","8728270","0","0","1483.17","226044"
"267","경남본부","진해지사","","","51650","6304260","0","0","759.51","100457"
"268","경남본부","함안지사","","","62379","8565150","0","0","1670.59","260013"
"269","경남본부","진주지사","","","110162","12932880","0","0","0","0"
"270","경남본부","창녕지사","","","56144","6517440","0","0","952.5","128926"
"271","경남본부","통영지사","","","70396","7972110","0","0","2224.15","276964"
"272","경남본부","의령지사","","","21293","2400650","0","0","0","0"
"273","경남본부","남해지사","","","31079","3893090","0","0","213.3","29689"
"274","경남본부","거제지사","","","95856","10053430","0","0","650.88","100399"
"275","경남본부","거창지사","","","35593","4832570","0","0","660.87","87302"
"276","경남본부","하동지사","","","49940","6337070","0","0","653.71","94904"
"277","경남본부","함양지사","","","42534","5770220","0","0","0","0"
"278","경남본부","산청지사","","","38301","4733850","0","0","215.3","30423"
"279","경남본부","전력사업처","","","1682","74620","0","0","0","0"
"280","경남본부","기획관리실","","","495420","58884590","0","0","82.35","12983"
"경남본부 소계","","","","","2494987","318927460","0","0","13293.27","1892010"
"281","제주본부","전력공급부","","","29905","8105810","0","0","9501.24","1274262"
"282","제주본부","송변전부","","","147","127210","0","0","0","0"
"283","제주본부","제주전력지사","","","59162","9559720","0","0","0","0"
"284","제주본부","서귀포지사","","","90981","10707890","0","0","0","0"
"285","제주본부","기획관리실","","","398631","50400440","0","0","0","0"
"제주본부 소계","","","","","578826","78901070","0","0","9501.24","1274262"
"286","경인건설본부","","","","326534","40844720","0","0","0","0"
"287","경인건설본부","남서울건설지사","","","23834","5347640","0","0","0","0"
"경인건설본부 소계","","","","","350368","46192360","0","0","0","0"
"288","남부건설본부","","","","7976","2776260","0","0","0","0"
"289","남부건설본부","경영지원부","","","178948","26287340","0","0","0","0"
"290","남부건설본부","건설환경실","","","0","574890","0","0","0","0"
"291","남부건설본부","대구경북건설지사","","","25715","5153060","0","0","0","0"
"남부건설본부 소계","","","","","212639","34791550","0","0","0","0"
"292","중부건설본부","","","","161971","20796510","0","0","0","0"
"293","중부건설본부","광주전남건설지사","","","18025","2812680","0","0","0","0"
"중부건설본부 소계","","","","","179996","23609190","0","0","0","0"
"합계","","","","","34607802","4594504580","9774","1261980","290704.07","39535998"
